#,Name,URL,Description,Categories,Tags,Department,Owner,Created date,Resource name,Resource description,Resource format,Resource size (bytes),Resource with API,Resource URL,Resource file,Resource created,Resource last modified,Resource next review,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
553,Acid sulfate soils series,https://www.data.qld.gov.au/dataset/acid-sulfate-soils-series,This series contains acid sulfate soils information for Queensland. Mapping is available for a number of locations at scales suitable for land use planning.,Maps and geospatial; Sciences;,,Environment and Science,opendata@des.qld.gov.au,8/01/2013,Acid sulfate soils of the Narrows area of Central Queensland - CQAN,"This dataset is an acid sulfate soils map for The Narrows area, near Gladstone. It shows the presence of, type of, and average depth to acid sulfate soil layers in polygons interpreted as relatively homogenous acid sulfate environments. A combination of soils description, laboratory testing, elevation and geology data, and API (airphoto interpretation) was used to construct the map.This mapping is at a nominal scale of 1:50,000 and is restricted to coastal areas below 5m AHD. However, the effective scale of each map polygon varies based on the number of soil description sites within it. This map may be used for strategic land use planning. It is also appropriate for a very general preliminary assessment of acid sulfate hazard at property scale. However, it is not sufficiently detailed for intensive development planning.",Esri File Geodatabase,1 MiB,,https://www.data.qld.gov.au/dataset/acid-sulfate-soils-series/resource/2f0a6818-23e3-4c30-9f96-8450174ffb32,"http://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=""Acid sulfate soils of the Narrows area of Central Queensland - CQAN""",20/02/2020,undefined,undefined,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
11,Active crop groups 1987 to 2019,https://www.data.qld.gov.au/dataset/active-crop-groups-1987-to-2019,"This dataset shows the broad groups of crops grown in Queensland's Strategic Cropping Land, for a particular growing-season.The predicted group is stored in the attribute table (field 'GROUP'), along with the probability of the prediction (field 'P_GROUP', the larger this value, the more certain is 'GROUP').",Maps and geospatial; Sciences;,,Environment and Science,opendata@des.qld.gov.au,3/12/2020,Active crop groups 1987 to 2019,"This dataset shows the broad groups of crops grown in Queensland's Strategic Cropping Land, for a particular growing-season.",Esri File Geodatabase,400 MiB,,https://www.data.qld.gov.au/dataset/active-crop-groups-1987-to-2019/resource/4f279555-bd0d-4b10-94a0-3b10e5a30659,"http://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=""Active crop groups 1987 to 2019""",26/03/2020,undefined,undefined,Dataset,AGRICULTURE,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
347,Air Quality Monitoring - 2010,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2010,"Annual hourly air quality and meteorological data by monitoring site for the 2010 calendar year. For more information on air quality, including live air data, please visit [environment.des.qld.gov.au/air](http://environment.des.qld.gov.au/air).  

**File format:** Comma-separated text  
**Data resolution:** One-hour average values (one-hour sum for rainfall)  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Calm conditions:** No hourly average wind direction is reported when the hourly average wind speed is zero  
**Barometric pressure:** Values are at monitoring station elevation, not corrected to mean sea level  
**Daily zero/span response check:** Automated instrument zero/span response checks are conducted daily between midnight and 1am at Queensland Government sites (can differ at industry sites). Where this takes place an ambient hourly value cannot be reported.  
**Sampling height:** Four metres above ground (unless otherwise indicated)",Environment; Sciences;,Air; Meteorology; Monitoring; The Science Sandpit;,Environment and Science,opendata@des.qld.gov.au,2/02/2016,Aldoga (Gladstone) 2010 hourly meteorological data,"**Period of operation:** 1 January to 31 December 2010  

**Site location:** Latitude: -23.8409; Longitude: 151.0627  

**AS/NZS 3580.1.1 site classification:** Background  

**AS/NZS 3580.14 compliance (meteorology):** Complies fully  

**Wind:** Mechanical cup and vane

*    Height above ground level: 10 metres.
*    The wind direction sensor is aligned to magnetic north. The reported wind direction is referenced to true north by application of a magnetic declination correction of +10 degrees to the sensor output value.
Temperature: Platinum resistance sensor
*    Height above ground level: 2 metres.",CSV,335 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/b6ea7404-126a-47ff-9b99-94e83bd1a8bc,https://data.des.qld.gov.au/__data/assets/file/0031/83893/aldoga-aq-2010.csv,2/02/2016,5/08/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
540,Air Quality Monitoring - 2011,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2011,"Annual hourly air quality and meteorological data by monitoring site for the 2011 calendar year.  
For more information on Air Quality including live air data, please visit [environment.des.qld.gov.au/air](https://environment.des.qld.gov.au/air).

**Data resolution:** One hour average values  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Calm conditions:** No hourly average wind direction is reported when the hourly average wind speed is zero  
**Daily zero/span response check:** Automated instrument zero/span response checks are conducted daily between midnight and 1:00am.  Where this takes place, an ambient hourly value cannot be reported.  
**Sampling height:** 4 metres above ground level (unless otherwise indicated)

**Please note:** The following datasets were added on 03 May 2018:

*    Pinkenba
*    Pomona
*    Stuart
*    Townsville Port
*    Wynnum North

**Please note:** The following datasets were updated on 03 May 2018

*    Pimlico - Oxides of nitrogen modified
*    South Brisbane - Carbon monoxide modified",Environment; Sciences;,The Science Sandpit; air; air quality; environment; science;,Environment and Science,opendata@des.qld.gov.au,10/08/2013,Aldoga (Gladstone) 2011 hourly meteorological data,"**Period of operation:** 1 January to 31 December 2011  
**Site location:** Latitude: -23.8403;  Longitude: 151.0628  
**AS/NZS 3580.1.1:2007 site classification:** Background  
**AS/NZS 3580.14Ÿ??2011 compliance (meteorology):** Complies fully  
**Wind sensor:** Mechanical cup and vane.  

*   Height above ground level: 10 metres  
*   The wind direction sensor is aligned to magnetic north.  The reported wind direction is referenced to true north by application of a magnetic declination correction of +10 degrees to the sensor output value.  

**Temperature:** Platinum resistance sensor",CSV,332 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/c5f26fd4-bbcf-4c7e-9581-2bef7e538ffa,https://data.des.qld.gov.au/__data/assets/file/0019/83323/aldoga-aq-2011.csv,10/08/2013,5/03/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
168,Air Quality Monitoring - 2011 (grouped by pollutant),https://www.data.qld.gov.au/dataset/air-quality-monitoring-2011-grouped-by-pollutant,"Annual hourly air quality and meteorological data by pollutant for the 2011 calendar year. For more information on air quality, including live air data, please visit [www.ehp.qld.gov.au/air](http://www.ehp.qld.gov.au/air).  

**Data resolution:** One-hour average values  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Sampling height:** Four metres above ground (unless otherwise indicated)",Environment; Sciences;,air quality; environment; science;,Environment and Science,opendata@des.qld.gov.au,5/03/2018,Queensland 2011 hourly benzene data,"**Period of reporting:** 1 January to 31 December 2011  
**Monitoring sites:** Springwood (South East Queensland); Auckland Point, Memorial Park (Gladstone region)  
**Measurement units:** parts per billion (ppb)  
**Measurement technique:** Differential Optical Absorption Spectroscopy (DOAS) analyser operated in accordance with AS/NZS 3580.15  

- Values are average concentrations over 250 metre light path (Springwood) and 520 metre light path (Auckland Point and Memorial Park)
- Instrument output offset and/or scaled based on instrument calibration data.",CSV,214 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2011-grouped-by-pollutant/resource/10128115-555a-4ee9-b299-fb7267bd9c20,https://www.data.qld.gov.au/dataset/71e6865a-b869-4cc6-8bd7-99e37baa2510/resource/10128115-555a-4ee9-b299-fb7267bd9c20/download/benzene-qld-2011.csv,5/03/2018,5/03/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
544,Air Quality Monitoring - 2012,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2012,"Annual hourly air quality and meteorological data by monitoring site for the 2012 calendar year.  For more information on Air Quality including live air data, please visit [environment.des.qld.gov.au/air](https://environment.des.qld.gov.au/air).

**Data resolution:** One hour average values  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Calm conditions:** No hourly average wind direction is reported when the hourly average wind speed is zero  
**Daily zero/span response check:** Automated instrument zero/span response checks are conducted daily between midnight and 1:00am.  Where this takes place, an ambient hourly value cannot be reported.  
**Sampling height:** 4 metres above ground level (unless otherwise indicated)

**Please Note:** This dataset was updated on 02 May 2018 to include the following additional sites:

*    Abbot Point (Bowen)
*    Pinkenba
*    Stuart
*    Wynnum North

**Please Note:** The following sites were updated on 02 May 2018 to correct an error identified in the data. 

*    Townsville Coast Guard",Environment; Sciences;,The Science Sandpit; air; air quality; environment; science;,Environment and Science,opendata@des.qld.gov.au,30/09/2013,Abbot Point (Bowen) 2012 hourly meteorological data,"**Period of operation:** 12 October (site established) to 31 December 2012  
**Site location:** Latitude: -19.9496; Longitude: 148.0482  
**AS/NZS 3580.1.1:2007 site classification:** Background  
**AS/NZS 3580.14:2011 compliance (meteorology):** Complies, except for:  

*    Temperature and relative humidity sensors located 10 metres above ground level.

**Wind sensor:** Ultrasonic sensor

*    Height above ground level: 10 metres. 
*    The wind direction sensor is aligned to magnetic north. The reported wind direction is referenced to true north by application of a magnetic declination correction of +8 degrees to the sensor output value.

**Temperature:** Capacitive ceramic sensor

*    Height above ground level: 10 metres. 

**Relative humidity:** Capacitive thin film polymer sensor

*    Height above ground level: 10 metres. 

**Rainfall:** Vaisala RAINCAPô¸ precipitation sensor. 

*    Height above ground level: 10 metres.

**Barometric pressure:** Capacitive silicon sensor.
*    Height above ground level: 10 metres.",CSV,274 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/a7373aa8-43dc-4ef5-8ef2-ab7e6046aa8a,https://www.data.qld.gov.au/dataset/45bf4340-9442-4120-b736-36c50c59415f/resource/a7373aa8-43dc-4ef5-8ef2-ab7e6046aa8a/download/bowen-aq-2012.csv,5/02/2018,5/02/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
169,Air Quality Monitoring - 2012 (grouped by pollutant),https://www.data.qld.gov.au/dataset/air-quality-monitoring-2012-grouped-by-pollutant,"Annual hourly air quality and meteorological data by pollutant for the 2012 calendar year. For more information on air quality, including live air data, please visit [www.ehp.qld.gov.au/air](http://www.ehp.qld.gov.au/air).  

**Data resolution:** One-hour average values  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Sampling height:** Four metres above ground (unless otherwise indicated)",Environment; Sciences;,air quality; environment; science;,Environment and Science,opendata@des.qld.gov.au,5/02/2018,Queensland 2012 hourly benzene data,"**Period of reporting:** 1 January to 31 December 2012  
**Monitoring sites:** Springwood (South East Queensland); Auckland Point, Memorial Park (Gladstone region)  
**Measurement units:** parts per billion (ppb)  
**Measurement technique:** Differential Optical Absorption Spectroscopy (DOAS) analyser operated in accordance with AS/NZS 3580.15  

- Values are average concentrations over 250 metre light path (Springwood) and 520 metre light path (Auckland Point and Memorial Park)
- Instrument output offset and/or scaled based on instrument calibration data.",CSV,202 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2012-grouped-by-pollutant/resource/9dd1658f-f47b-47dd-9275-b2179a09f493,https://www.data.qld.gov.au/dataset/d334edf3-9f26-4c82-b4f3-44bb08931325/resource/9dd1658f-f47b-47dd-9275-b2179a09f493/download/benzene-qld-2012.csv,5/02/2018,5/02/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
403,Air Quality Monitoring - 2013,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2013,"Annual hourly air quality and meteorological data by monitoring site for the 2013 calendar year. For more information on air quality, including live air data, please visit [environment.des.qld.gov.au/air](https://environment.des.qld.gov.au/air).  
  
**Data resolution:** One-hour average values (one-hour sum for rainfall)  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Calm conditions:** No hourly average wind direction is reported when the hourly average wind speed is zero  
**Barometric pressure:** Values are at monitoring station elevation, not corrected to mean sea level  
**Daily zero/span response check:** Automated instrument zero/span response checks are conducted daily between midnight and 1am at Queensland Government sites (can differ at industry sites). Where this takes place an ambient hourly value cannot be reported.  
**Sampling height:** Four metres above ground (unless otherwise indicated)

**PLEASE NOTE:** The Auckland Point 2013 dataset was updated 24/04/2018 to remove invalid wind data due to a sensor fault",Environment; Sciences;,The Science Sandpit; air quality; environment; science;,Environment and Science,opendata@des.qld.gov.au,29/05/2015,Abbot Point (Bowen) 2013 hourly meteorological data,"**Period of operation:** 1 January to 31 December 2013  
**Site location:** Latitude: -19.9496; Longitude: 148.0482  
**AS/NZS 3580.1.1 site classification:** Background  
**AS/NZS 3580.14 compliance (meteorology):** Complies, except for:  

*    Temperature and relative humidity sensors located 10 metres above ground level.  

**Wind sensor:** Ultrasonic sensor  

*    Height above ground level: 10 metres.   
*    The wind direction sensor is aligned to magnetic north. The reported wind direction is referenced to true north by application of a magnetic declination correction of +8 degrees to the sensor output value.  

**Temperature:** Capacitive ceramic sensor  

*    Height above ground level: 10 metres.   

**Relative humidity:** Capacitive thin film polymer sensor  

*    Height above ground level: 10 metres.    

**Rainfall:** Vaisala RAINCAPô¸ precipitation sensor.   

*    Height above ground level: 10 metres.  

**Barometric pressure:** Capacitive silicon sensor.  

*    Height above ground level: 10 metres.",CSV,453 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/b0dcbd81-1e5f-40c8-b6b7-f8437818a36b,https://data.des.qld.gov.au/__data/assets/file/0024/83913/bowen-aq-2013.csv,29/05/2015,24/04/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
170,Air Quality Monitoring - 2013 (grouped by pollutant),https://www.data.qld.gov.au/dataset/air-quality-monitoring-2013-grouped-by-pollutant,"Annual hourly air quality data by air pollutant for the 2013 calendar year. For more information on air quality, including live air data, please visit [environment.des.qld.gov.au/air](https://environment.des.qld.gov.au/air)

**Data resolution:** One-hour average values  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Sampling height:** Four metres above ground (unless otherwise indicated)",Environment; Sciences;,air quality; environment; science;,Environment and Science,opendata@des.qld.gov.au,5/01/2018,Queensland 2013 hourly benzene data,"**Period of reporting:** 1 January to 31 December 2013  
**Monitoring sites:** Springwood (South East Queensland); Memorial Park (Gladstone region)  
**Measurement units:** parts per billion (ppb)  
**Measurement technique:** Differential Optical Absorption Spectroscopy (DOAS) analyser operated in accordance with AS/NZS 3580.15  

*    Values are average concentrations over 250 metre light path (Springwood) and 520 metre light path (Memorial Park)
*    Instrument output offset and/or scaled based on instrument calibration data.",CSV,211 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2013-grouped-by-pollutant/resource/cea1c512-cee0-4caf-8c71-6e05d358c031,https://www.data.qld.gov.au/dataset/e2ca9889-1594-48ba-92da-0bb50cbc50c3/resource/cea1c512-cee0-4caf-8c71-6e05d358c031/download/benzene-qld-2013.csv,5/01/2018,5/01/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
402,Air Quality Monitoring - 2014,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2014,"Annual hourly air quality and meteorological data by monitoring site for the 2014 calendar year. For more information on air quality, including live air data, please visit [environment.des.qld.gov.au/air](https://environment.des.qld.gov.au/air).  
  
**Data resolution:** One-hour average values (one-hour sum for rainfall)  
**Data row timestamp:** Start of averaging period  
**Missing data/not monitored:** Blank cell  
**Calm conditions:** No hourly average wind direction is reported when the hourly average wind speed is zero  
**Barometric pressure:** Values are at monitoring station elevation, not corrected to mean sea level  
**Daily zero/span response check:** Automated instrument zero/span response checks are conducted daily between midnight and 1am at Queensland Government sites (can differ at industry sites). Where this takes place an ambient hourly value cannot be reported.  
**Sampling height:** Four metres above ground (unless otherwise indicated)  

**PLEASE NOTE:** 

*    The Townsville Coast Guard 2014 air quality monitoring site data was updated on 26/10/2015 due to the wind direction sensor being misaligned and the reported wind direction values have now been corrected.  
*    The Auckland Point 2014 air quality monitoring site data was updated on 24/04/2018 to remove invalid wind data due to a sensor fault.",Environment; Sciences;,The Science Sandpit; air quality; environment; science;,Environment and Science,opendata@des.qld.gov.au,6/04/2015,Abbot Point (Bowen) 2014 hourly meteorological data,"**Period of operation:** 1 January to 31 December 2014  
**Site location:** Latitude: -19.9496; Longitude: 148.0482  
**AS/NZS 3580.1.1:2007 site classification:** Background  
**AS/NZS 3580.14:2011 compliance (meteorology):** Complies, except for:  

*    Temperature and relative humidity sensors located 10 metres above ground level.  

**Wind sensor:** Ultrasonic sensor  

*    Height above ground level: 10 metres.  
*    The wind direction sensor is aligned to magnetic north. The reported wind direction is referenced to true north by application of a magnetic declination correction of +8 degrees to the sensor output value.  

**Temperature:** Capacitive ceramic sensor  

*    Height above ground level: 10 metres.

**Relative humidity:** Capacitive thin film polymer sensor  

*    Height above ground level: 10 metres.

**Rainfall:** Vaisala RAINCAPô¸ precipitation sensor.  

*    Height above ground level: 10 metres.

**Barometric pressure:** Capacitive silicon sensor.  

*    Height above ground level: 10 metres.",CSV,430 KiB,,https://www.data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/70fede04-d545-418c-8c29-b323fdb2d05f,https://data.des.qld.gov.au/__data/assets/file/0025/83914/bowen-aq-2014.csv,6/04/2015,24/04/2018,undefined,Dataset,AIR QUALITY,OFFICIAL,Gavin Shaw,Department of Environment and Science,completed
