Dataset URL,Organisation,General classification of dataset type,Topic or theme,Point of Contact
https://www.data.qld.gov.au/dataset/headline-waste-disposal-in-queensland-by-region,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/headline-waste-disposal-in-queensland-by-sector,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/headline-waste-generation-in-queensland-from-2012-onwards,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/litter-and-illegally-disposed-waste-2021-to-2023,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/litter-and-illegally-disposed-waste-reported-by-local-governments,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/local-government-bin-services-in-queensland-2011-12-onwards,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/material-sent-overseas-2016-23,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/material-sent-overseas-for-recovery-from-queensland-from-2016-onwards,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/resources-recovered-by-destination-2022-23,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/waste-disposal-by-sector-2023,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/waste-disposed-at-levyable-waste-disposal-sites,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/waste-received-from-interstate-sources-from-2013-14-onwards,environment-and-heritage-policy-programs,dataset,RECYCLING,Dylan Walker
https://www.data.qld.gov.au/dataset/brisbane-river-colmslie-site-water-quality-monitoring-buoy,science,dataset,WATER QUALITY,Katie Hillyer
https://www.data.qld.gov.au/dataset/wq-monitoring-pumicestone-passage,science,dataset,WATER QUALITY,Katie Hillyer
https://www.data.qld.gov.au/dataset/overseas-travel-department-of-national-parks-recreation-sport-and-racing,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/overseas-travel-department-of-national-parks-sport-and-racing,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/overseas-travel-environment-and-heritage-protection,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/queensland-cultural-diversity-policy,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/queensland-cultural-diversity-policy-nprsr,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/queensland-language-services-policy-department-of-environment-and-heritage-protection,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/queensland-language-services-policy-department-of-national-parks-sport-and-racing,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/queensland-multicultural-action-plan-2011-2014-core-outcomes-environment-and-heritage-protection,corporate-services,dataset,HUMAN DIMENSIONS,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-cape-york-peninsula-regional-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-cape-york-peninsula-regional-protected-area-management-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-cape-york-peninsula-regional-scientific-and-cultural-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-fraser-island-community-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-fraser-island-world-heritage-indigenous-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-fraser-island-world-heritage-scientific-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-gondwana-rainforests-of-australia-community-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-gondwana-rainforests-technical-and-scientific-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-national-parks-tourism-reference-group,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-newstead-house-board-of-trustees,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-qld-heritage-council,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-riversleigh-community-and-scientific-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-wet-tropics-community-consultative-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-wet-tropics-management-authority,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-wet-tropics-scientific-advisory-committee,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/remuneration-information-for-govt-bodies-dsiti,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
https://www.data.qld.gov.au/dataset/board-of-the-queensland-museum-annual-report-consultancies-2019-2020,corporate-services,dataset,ENVIRONMENTAL GOVERNANCE/MANAGEMENT,Michael Kirton
