Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
Acid sulfate soils - Keppel Sands to Yeppoon Central Queensland - CQAY,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={613367E3-1AF2-447A-92DF-3BA1F23FB13B},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils - Tweed Heads to Nerang River - South East Queensland - SEAN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={50F57905-D37A-4311-9680-AC3B9856730D},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils - Tweed Heads to Teewah - South-East Queensland - SEA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D27C6A10-5E35-4933-A1DE-A19C3169FE27},18/10/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils mapping stylefiles,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F147FFAC-891A-4D2B-8ECF-36CEFF1B24B4},12/09/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of Beachmere - South East Queensland - CABB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D7D554C6-EDAE-449E-9E44-7D1FDE40625C},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of Bowen - North Queensland - MWQB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={ADEACB15-671F-4B94-969A-EFED87708E6F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of Cairns - Far North Queensland - NQAS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A2D05BF7-03DB-418F-9167-E226D03F5B3E},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of Donnybrook Meldale and Toorbul - South East Queensland - CABD,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D985D160-0EBE-44E0-82EE-672993F2004B},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of Halifax - North Queensland - IAS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EA0AB4CC-7A18-44E4-9B7B-45F8379B50BB},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of Proserpine - North Queensland - MWQP,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6EA79347-51F5-48E3-A94F-C4A72311488F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
